,productname,prices,descriptions,raitng & reviews,otherinfo
1384,HP Victus Ryzen 5 Hexa Core 5600H,"₹65,990",AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD38.86 cm (15.3 Inch) Display1 Year Onsite Warranty,4.3, (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...
1385,HP Chromebook (2023) MediaTek Kompanio 1200,"₹42,990",MediaTek MediaTek Kompanio 1200 Processor8 GB LPDDR4X RAM64 bit Chrome Operating System256 GB SSD33.78 cm (13.3 Inch) Display1 Year Onsite Warranty,4.2, (8 GB/256 GB SSD/Chrome OS
1386,Lenovo Intel Celeron Dual Core,"₹26,990",Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD39.62 cm (15.6 Inch) Display2 Years Onsite�Warranty,4.1, (8 GB/256 GB SSD/Windows 11 Home
1387,APPLE 2020 Macbook Air M1,"₹81,990","Apple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty",4.1, (8 GB/256 GB SSD/Mac OS Big Sur
1388,Lenovo Ryzen 3 Quad Core 7320U,"₹36,990",AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1389,Lenovo Ideapad Gaming 3 Intel Core i5 11th Gen,"₹52,990",Intel Core i5 Processor (11th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite warranty,3.6, (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDI...
1390,HP Ryzen 5 Hexa Core 5500U,"₹40,999",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1391,HP 14s Intel Core i3 11th Gen,"₹35,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty,4.3, (8 GB/256 GB SSD/Windows 11 Home
1392,HP Chromebook x360 Intel Celeron Quad Core,"₹19,990",Intel Celeron Quad Core Processor4 GB LPDDR4 RAM64 bit Chrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite warranty,4.2, (4 GB/64 GB EMMC Storage/Chrome OS
1393,HP Chromebook x360 Intel Celeron Dual Core,"₹19,990",Intel Celeron Dual Core Processor4 GB LPDDR4 RAM64 bit Chrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite Warranty,4.4, (4 GB/64 GB EMMC Storage/Chrome OS
1394,ASUS Vivobook 15 Core i5 11th Gen,"₹42,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2, (8 GB/512 GB SSD/Windows 11 Home
1395,APPLE 2020 Macbook Air M1,"₹81,990","Apple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty",4.3, (8 GB/256 GB SSD/Mac OS Big Sur
1396,ASUS Vivobook 15 Core i3 11th Gen,"₹34,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4, (8 GB/512 GB SSD/Windows 11 Home
1397,HP Intel Core i5 11th Gen,"₹49,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.1, (8 GB/512 GB SSD/Windows 11 Home
1398,HP 15s (2023) Intel Core i5 11th Gen,"₹52,990",Intel Core i5 Processor (11th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.7, (16 GB/512 GB SSD/Windows 11 Home
1399,HP Chromebook (2023) Intel Core i5 11th Gen,"₹54,990","Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Chrome Operating System256 GB SSD35.56 cm (14 inch) Display1M+ Android apps, Preinstalled G-suite apps, Linux kernel and apps, Chrome web extensions, Available online and offline, Google Chrome, Google Play Store, Google Drive, Gmail, Google Calendar, Google Photo, Google Map, YouTube, Google Docs, Google spreadsheet, Google Slide, Google Hangouts, Google Keep, Google Shopping, Google Play Movies & TV, Google Play Books Drawing canvas, Google Play Music, Google Play Games1 Year Onsite Warranty",4, (8 GB/256 GB SSD/Chrome OS
1400,HP (2023) Intel 12th Gen N305 Core i3,"₹40,990",Intel Core i3 Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1401,Acer One Core i3 11th Gen,"₹26,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 Inch) Display1 Year Warranty,4.3, (8 GB/256 GB SSD/Windows 11 Home
1402,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,"₹40,490",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD93.01 cm (36.62 cm) DisplayOffice Home and Student 20212 Year warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1403,Lenovo LOQ Ryzen 7 Octa Core 7840HS,"₹87,990",AMD Ryzen 7 Octa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty,3.8, (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...
1404,Lenovo V15 Ryzen 5 Hexa Core 5500U,"₹35,990",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,3.8, (8 GB/512 GB SSD/Windows 11 Home
1405,HP 14s Intel Core i3 11th Gen,"₹35,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty,4.3, (8 GB/256 GB SSD/Windows 11 Home
1406,HP 15s (2023) Intel Core i3 12th Gen,"₹39,990",Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.1, (8 GB/512 GB SSD/Windows 11 Home
1407,realme Book (Slim) Core i3 11th Gen,"₹36,999","Stylish & Portable Thin and Light Laptop14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display)Finger Print Sensor for Faster System AccessLight Laptop without Optical Disk DriveIntel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD35.56 cm (14 inch) DisplayNA1 Year Domestic Warranty",4.3, (8 GB/256 GB SSD/Windows 10 Home
1408,HP Victus Ryzen 5 Hexa Core 5600H,"₹65,990",AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD38.86 cm (15.3 Inch) Display1 Year Onsite Warranty,4.2, (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...
1409,HP Chromebook (2023) MediaTek Kompanio 1200,"₹42,990",MediaTek MediaTek Kompanio 1200 Processor8 GB LPDDR4X RAM64 bit Chrome Operating System256 GB SSD33.78 cm (13.3 Inch) Display1 Year Onsite Warranty,4.1, (8 GB/256 GB SSD/Chrome OS
1410,Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen,"₹35,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayOffice Home and Student 20212 Year warranty,4.1, (8 GB/512 GB SSD/Windows 11 Home
1411,HP 15s (2023) Ryzen 3 Dual Core 3250U,"₹33,990",AMD Ryzen 3 Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1412,Lenovo Ryzen 3 Quad Core 7320U,"₹36,990",AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite warranty,3.6, (8 GB/512 GB SSD/Windows 11 Home
1413,Lenovo Ideapad Gaming 3 Intel Core i5 11th Gen,"₹52,990",Intel Core i5 Processor (11th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite warranty,4.3, (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDI...
1414,HP 247 G8 Athlon Dual Core AMD Athlon P3045B,"₹23,990",AMD Athlon Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System1 TB HDD35.56 cm (14 inch) DisplayWindows1 Year,4.3, (8 GB/1 TB HDD/Windows 11 Home
1415,ASUS Vivobook 14 Core i3 11th Gen,"₹34,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty,4.2, (8 GB/512 GB SSD/Windows 11 Home
1416,HP Chromebook x360 Intel Celeron Quad Core,"₹19,990",Intel Celeron Quad Core Processor4 GB LPDDR4 RAM64 bit Chrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite warranty,4.4, (4 GB/64 GB EMMC Storage/Chrome OS
1417,HP Chromebook x360 Intel Celeron Dual Core,"₹19,990",Intel Celeron Dual Core Processor4 GB LPDDR4 RAM64 bit Chrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite Warranty,4.2, (4 GB/64 GB EMMC Storage/Chrome OS
1418,ASUS Vivobook 15 Core i5 11th Gen,"₹42,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1419,HP 15s (2023) Athlon Dual Core 3050U,"₹31,990",AMD Athlon Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4, (8 GB/512 GB SSD/Windows 11 Home
1420,HP Intel Core i5 11th Gen,"₹49,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.1, (8 GB/512 GB SSD/Windows 11 Home
1421,ASUS Vivobook 15 Core i3 11th Gen,"₹34,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.7, (8 GB/512 GB SSD/Windows 11 Home
1422,Acer One Core i3 11th Gen,"₹26,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 Inch) Display1 Year Warranty,4, (8 GB/256 GB SSD/Windows 11 Home
1423,HP Chromebook (2023) Intel Core i5 11th Gen,"₹54,990","Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Chrome Operating System256 GB SSD35.56 cm (14 inch) Display1M+ Android apps, Preinstalled G-suite apps, Linux kernel and apps, Chrome web extensions, Available online and offline, Google Chrome, Google Play Store, Google Drive, Gmail, Google Calendar, Google Photo, Google Map, YouTube, Google Docs, Google spreadsheet, Google Slide, Google Hangouts, Google Keep, Google Shopping, Google Play Movies & TV, Google Play Books Drawing canvas, Google Play Music, Google Play Games1 Year Onsite Warranty",4.3, (8 GB/256 GB SSD/Chrome OS
1424,HP 15s (2023) Intel Core i5 11th Gen,"₹52,990",Intel Core i5 Processor (11th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (16 GB/512 GB SSD/Windows 11 Home
1425,HP 247 G8 Athlon Dual Core AMD Athlon P3045B,"₹23,990",AMD Athlon Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System1 TB HDD35.56 cm (14 inch) DisplayWindows1 Year,4.3, (8 GB/1 TB HDD/Windows 11 Home
1426,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,"₹40,490",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD93.01 cm (36.62 cm) DisplayOffice Home and Student 20212 Year warranty,3.8, (8 GB/512 GB SSD/Windows 11 Home
1427,Lenovo LOQ Ryzen 7 Octa Core 7840HS,"₹87,990",AMD Ryzen 7 Octa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty,3.8, (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...
1428,HP 15s (2023) Intel Core i3 12th Gen,"₹39,990",Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1429,Lenovo V15 Ryzen 5 Hexa Core 5500U,"₹35,990",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.7, (8 GB/512 GB SSD/Windows 11 Home
1430,realme Book (Slim) Core i3 11th Gen,"₹36,999","Stylish & Portable Thin and Light Laptop14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display)Finger Print Sensor for Faster System AccessLight Laptop without Optical Disk DriveIntel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD35.56 cm (14 inch) DisplayNA1 Year Domestic Warranty",4.2, (8 GB/256 GB SSD/Windows 10 Home
1431,Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen,"₹35,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayOffice Home and Student 20212 Year warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1432,HP Victus Ryzen 5 Hexa Core 5600H,"₹65,990",AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD38.86 cm (15.3 Inch) Display1 Year Onsite Warranty,4.3, (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...
1433,HP Chromebook (2023) MediaTek Kompanio 1200,"₹42,990",MediaTek MediaTek Kompanio 1200 Processor8 GB LPDDR4X RAM64 bit Chrome Operating System256 GB SSD33.78 cm (13.3 Inch) Display1 Year Onsite Warranty,4.1, (8 GB/256 GB SSD/Chrome OS
1434,Lenovo Intel Celeron Dual Core,"₹26,990",Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD39.62 cm (15.6 Inch) Display2 Years Onsite�Warranty,4.5, (8 GB/256 GB SSD/Windows 11 Home
1435,APPLE 2020 Macbook Air M1,"₹81,990","Apple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty",4.1, (8 GB/256 GB SSD/Mac OS Big Sur
1436,Lenovo Ryzen 3 Quad Core 7320U,"₹36,990",AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1437,Lenovo Ideapad Gaming 3 AMD Ryzen 5 Hexa Core 5600H,"₹48,990",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite warranty,4.2, (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/N...
1438,HP Ryzen 5 Hexa Core 5500U,"₹40,999",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1439,HP 14s Intel Core i3 11th Gen,"₹35,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty,4.3, (8 GB/256 GB SSD/Windows 11 Home
1440,HP Chromebook x360 Intel Celeron Quad Core,"₹19,990",Intel Celeron Quad Core Processor4 GB LPDDR4 RAM64 bit Chrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite warranty,4.4, (4 GB/64 GB EMMC Storage/Chrome OS
1441,HP Chromebook x360 Intel Celeron Dual Core,"₹19,990",Intel Celeron Dual Core Processor4 GB LPDDR4 RAM64 bit Chrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite Warranty,4.3, (4 GB/64 GB EMMC Storage/Chrome OS
1442,ASUS Vivobook 15 Core i5 11th Gen,"₹42,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4, (8 GB/512 GB SSD/Windows 11 Home
1443,HP 15s (2023) Athlon Dual Core 3050U,"₹31,990",AMD Athlon Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2, (8 GB/512 GB SSD/Windows 11 Home
1444,HP Intel Core i5 11th Gen,"₹49,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2, (8 GB/512 GB SSD/Windows 11 Home
1445,ASUS Vivobook 15 Core i3 11th Gen,"₹34,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4, (8 GB/512 GB SSD/Windows 11 Home
1446,Acer One Core i3 11th Gen,"₹26,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 Inch) Display1 Year Warranty,4.3, (8 GB/256 GB SSD/Windows 11 Home
1447,HP Chromebook (2023) Intel Core i5 11th Gen,"₹54,990","Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Chrome Operating System256 GB SSD35.56 cm (14 inch) Display1M+ Android apps, Preinstalled G-suite apps, Linux kernel and apps, Chrome web extensions, Available online and offline, Google Chrome, Google Play Store, Google Drive, Gmail, Google Calendar, Google Photo, Google Map, YouTube, Google Docs, Google spreadsheet, Google Slide, Google Hangouts, Google Keep, Google Shopping, Google Play Movies & TV, Google Play Books Drawing canvas, Google Play Music, Google Play Games1 Year Onsite Warranty",3.6, (8 GB/256 GB SSD/Chrome OS
1448,HP 15s (2023) Intel Core i5 11th Gen,"₹52,990",Intel Core i5 Processor (11th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (16 GB/512 GB SSD/Windows 11 Home
1449,HP 247 G8 Athlon Dual Core AMD Athlon P3045B,"₹23,990",AMD Athlon Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System1 TB HDD35.56 cm (14 inch) DisplayWindows1 Year,3.8, (8 GB/1 TB HDD/Windows 11 Home
1450,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,"₹40,490",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD93.01 cm (36.62 cm) DisplayOffice Home and Student 20212 Year warranty,3.8, (8 GB/512 GB SSD/Windows 11 Home
1451,Lenovo LOQ Ryzen 7 Octa Core 7840HS,"₹87,990",AMD Ryzen 7 Octa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty,4.3, (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...
1452,HP 15s (2023) Intel Core i3 12th Gen,"₹39,990",Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.1, (8 GB/512 GB SSD/Windows 11 Home
1453,Lenovo V15 Ryzen 5 Hexa Core 5500U,"₹35,990",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1454,realme Book (Slim) Core i3 11th Gen,"₹36,999","Stylish & Portable Thin and Light Laptop14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display)Finger Print Sensor for Faster System AccessLight Laptop without Optical Disk DriveIntel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD35.56 cm (14 inch) DisplayNA1 Year Domestic Warranty",4.2, (8 GB/256 GB SSD/Windows 10 Home
1455,Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen,"₹35,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayOffice Home and Student 20212 Year warranty,4.1, (8 GB/512 GB SSD/Windows 11 Home
1456,HP Victus Ryzen 5 Hexa Core 5600H,"₹65,990",AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD38.86 cm (15.3 Inch) Display1 Year Onsite Warranty,4.1, (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...
1457,HP Chromebook (2023) MediaTek Kompanio 1200,"₹42,990",MediaTek MediaTek Kompanio 1200 Processor8 GB LPDDR4X RAM64 bit Chrome Operating System256 GB SSD33.78 cm (13.3 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/256 GB SSD/Chrome OS
1458,Lenovo Intel Celeron Dual Core,"₹26,990",Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD39.62 cm (15.6 Inch) Display2 Years Onsite�Warranty,3.6, (8 GB/256 GB SSD/Windows 11 Home
1459,APPLE 2020 Macbook Air M1,"₹81,990","Apple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty",4.3, (8 GB/256 GB SSD/Mac OS Big Sur
1460,Lenovo Ryzen 3 Quad Core 7320U,"₹36,990",AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
